ชื่อยา,ข้อบ่งใช้,ระดับความเสี่ยง,หมายเหตุ,แหล่งอ้างอิงข้อมูล
Dicloxacillin,ใช้สำหรับรักษาโรคติดเชื้อที่มีสาเหตุจากเชื้อแบคทีเรีย,ความเสี่ยงต่ำมาก,,Breastfeeding Association for Promotion and Cultural and Research of. Dicloxacillin. Available from: http://www.e-lactancia.org/producto/477.
Amoxicillin-Clavulanate,ใช้สำหรับรักษาโรคติดเชื้อที่มีสาเหตุจากเชื้อแบคทีเรีย,ความเสี่ยงต่ำมาก,ข้อมูลการใช้ยา Amoxicillin-Clavulanateในสตรีให้นมบุตรมีจำกัด แต่อย่างไรก็ตามข้อมูลหลักฐานที่พบไม่ได้ระบุว่ายา Amoxicillin-Clavulanate มีความเสี่ยงที่จะเป็นอันตรายต่อสตรีให้นมบุตร,"1. Breastfeeding Association for Promotion and Cultural and Research of. Amoxicillin-Clavulanate. Available from: http://www.e-lactancia.org/producto/92.                                      2. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf-free/."
Ampicillin-Sulbactam,ใช้สำหรับรักษาโรคติดเชื้อที่มีสาเหตุจากเชื้อแบคทีเรีย,ความเสี่ยงต่ำมาก,,Breastfeeding Association for Promotion and Cultural and Research of. Ampicillin-Sulbactan. Available from: http://www.e-lactancia.org/producto/94.
Piperacillin + Tazobactam,ใช้สำหรับรักษาโรคติดเชื้อที่มีสาเหตุจากเชื้อแบคทีเรีย,ความเสี่ยงต่ำมาก,ข้อมูลการใช้ยา Piperacillin + Tazobactamในสตรีให้นมบุตรมีจำกัด แต่อย่างไรก็ตามข้อมูลหลักฐานที่พบไม่ได้ระบุว่ายา Piperacillin + Tazobactam มีความเสี่ยงที่จะเป็นอันตรายต่อสตรีให้นมบุตร,"1. Breastfeeding Association for Promotion and Cultural and Research of. Piperacillin + Tazobactam. Available from: http://www.e-lactancia.org/producto/1219.                                  2. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf-free/."
Cefalexin,ใช้สำหรับรักษาโรคติดเชื้อที่มีสาเหตุจากเชื้อแบคทีเรีย,ความเสี่ยงต่ำมาก,,Breastfeeding Association for Promotion and Cultural and Research of. Cefalexin. Available from: http://www.e-lactancia.org/producto/291.
Cefuroxime,ใช้สำหรับรักษาโรคติดเชื้อที่มีสาเหตุจากเชื้อแบคทีเรีย,ความเสี่ยงต่ำมาก,,Breastfeeding Association for Promotion and Cultural and Research of. Cefuroxime. Available from: http://www.e-lactancia.org/producto/316.
Cefixime,ใช้สำหรับรักษาโรคติดเชื้อที่มีสาเหตุจากเชื้อแบคทีเรีย,ความเสี่ยงต่ำมาก,,Breastfeeding Association for Promotion and Cultural and Research of. Cefixime. Available from: http://www.e-lactancia.org/producto/300.
Doxycycline,ใช้สำหรับรักษาโรคติดเชื้อที่มีสาเหตุจากเชื้อแบคทีเรีย,ความเสี่ยงต่ำ,มีหลักฐานระบุว่า ยา Doxycycline สามารถใช้ได้ในสตรีให้นมบุตร แต่อย่างไรก็ตามควรปรึกษาแพทย์หรือเภสัชกรในการใช้ยา Doxycycline เนื่องจากอาจมีผลต่อสีฟันของทารก ,"1. Breastfeeding Association for Promotion and Cultural and Research of. Doxycycline. Available from: http://www.e-lactancia.org/producto/530.                                                         2. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002.                                      3. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf-free/."
Tetracycline,ใช้สำหรับรักษาโรคติดเชื้อที่มีสาเหตุจากเชื้อแบคทีเรีย,ความเสี่ยงต่ำมาก,,Breastfeeding Association for Promotion and Cultural and Research of. Tetracycline. Available from: http://www.e-lactancia.org/producto/1457.
Neomycin,ใช้สำหรับรักษาโรคติดเชื้อที่มีสาเหตุจากเชื้อแบคทีเรีย,ความเสี่ยงต่ำมาก,ข้อมูลการใช้ยา Neomycinในสตรีให้นมบุตรมีจำกัด แต่อย่างไรก็ตามข้อมูลหลักฐานที่พบไม่ได้ระบุว่ายา Neomycin มีความเสี่ยงที่จะเป็นอันตรายต่อสตรีให้นมบุตร,"1. Breastfeeding Association for Promotion and Cultural and Research of. Neomycin. Available from: http://www.e-lactancia.org/producto/1099.                                                       2. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf-free/."
Erythromycin,ใช้สำหรับรักษาโรคติดเชื้อที่มีสาเหตุจากเชื้อแบคทีเรีย,ความเสี่ยงต่ำ,,Breastfeeding Association for Promotion and Cultural and Research of. Erythromycin. Available from: http://www.e-lactancia.org/producto/575.
Roxithromycin,ใช้สำหรับรักษาโรคติดเชื้อที่มีสาเหตุจากเชื้อแบคทีเรีย,ความเสี่ยงต่ำมาก,,Breastfeeding Association for Promotion and Cultural and Research of. Roxithromycin. Available from: http://www.e-lactancia.org/producto/1356.
Azithromycin,ใช้สำหรับรักษาโรคติดเชื้อที่มีสาเหตุจากเชื้อแบคทีเรีย,ความเสี่ยงต่ำมาก,ข้อมูลการใช้ยา Azithromycinในสตรีให้นมบุตรมีจำกัด แต่อย่างไรก็ตามข้อมูลหลักฐานที่พบไม่ได้ระบุว่ายา Azithromycin มีความเสี่ยงที่จะเป็นอันตรายต่อสตรีให้นมบุตร,"1. Breastfeeding Association for Promotion and Cultural and Research of. Azithromycin. Available from: http://www.e-lactancia.org/producto/147.                                                          2. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf-free/."
Clarithromycin,ใช้สำหรับรักษาโรคติดเชื้อที่มีสาเหตุจากเชื้อแบคทีเรีย,ความเสี่ยงต่ำมาก,ข้อมูลการใช้ยา Clarithromycinในสตรีให้นมบุตรมีจำกัด แต่อย่างไรก็ตามข้อมูลหลักฐานที่พบไม่ได้ระบุว่ายา Clarithromycin มีความเสี่ยงที่จะเป็นอันตรายต่อสตรีให้นมบุตร,"1. Breastfeeding Association for Promotion and Cultural and Research of. Clarithromycin. Available from: http://www.e-lactancia.org/producto/357.                                                           2. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf-free/."
Norfloxacin,ใช้สำหรับรักษาโรคติดเชื้อที่มีสาเหตุจากเชื้อแบคทีเรีย,ความเสี่ยงต่ำมาก,ข้อมูลการใช้ยา Norfloxacinในสตรีให้นมบุตรมีจำกัด แต่อย่างไรก็ตามข้อมูลหลักฐานที่พบไม่ได้ระบุว่ายา Norfloxacin มีความเสี่ยงที่จะเป็นอันตรายต่อสตรีให้นมบุตร,"1. Breastfeeding Association for Promotion and Cultural and Research of. Norfloxacin. Available from: http://www.e-lactancia.org/producto/1130.                                                        2. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf-free/."
Ofloxacin,ใช้สำหรับรักษาโรคติดเชื้อที่มีสาเหตุจากเชื้อแบคทีเรีย,ความเสี่ยงต่ำมาก,ข้อมูลการใช้ยา Ofloxacinในสตรีให้นมบุตรมีจำกัด แต่อย่างไรก็ตามข้อมูลหลักฐานที่พบไม่ได้ระบุว่ายา Ofloxacin มีความเสี่ยงที่จะเป็นอันตรายต่อสตรีให้นมบุตร,"1. Breastfeeding Association for Promotion and Cultural and Research of. Ofloxacin. Available from: http://www.e-lactancia.org/producto/1138.                                                        2. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf-free/."
Ciprofloxacin,ใช้สำหรับรักษาโรคติดเชื้อที่มีสาเหตุจากเชื้อแบคทีเรีย,ความเสี่ยงต่ำมาก,ควรปรึกษาแพทย์หรือเภสัชกรในการใช้ยา Ciprofloxacin เนื่องจากมีข้อมูลว่าควรหลีกเลี่ยงการใช้ยา Ciprofloxacin หากเป็นไปได้  และข้อมูลการใช้ยา Ofloxacinในสตรีให้นมบุตรมีจำกัด ถึงแม้ข้อมูลหลักฐานที่พบไม่ได้ระบุว่ายา Ofloxacin มีความเสี่ยงที่จะเป็นอันตรายต่อสตรีให้นมบุตรก็ตาม,"1. Breastfeeding Association for Promotion and Cultural and Research of. Ciprofloxacin. Available from: http://www.e-lactancia.org/producto/345.                                                         2. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002.                                       3. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf-free/."
Levofloxacin,ใช้สำหรับรักษาโรคติดเชื้อที่มีสาเหตุจากเชื้อแบคทีเรีย,ความเสี่ยงต่ำ,ข้อมูลการใช้ยา Levofloxacinในสตรีให้นมบุตรมีจำกัด แต่อย่างไรก็ตามข้อมูลหลักฐานที่พบไม่ได้ระบุว่ายา Levofloxacin มีความเสี่ยงที่จะเป็นอันตรายต่อสตรีให้นมบุตร,"1. Breastfeeding Association for Promotion and Cultural and Research of. Levofloxacin. Available from: http://www.e-lactancia.org/producto/924.                                                          2. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf-free/."
Chloramphenicol,ใช้สำหรับรักษาโรคติดเชื้อที่มีสาเหตุจากเชื้อแบคทีเรีย,ความเสี่ยงสูง,ข้อมูลการใช้ยา Chloramphenicolในสตรีให้นมบุตรมีจำกัด ข้อมูลหลักฐานที่พบไม่ได้ระบุว่ายา Chloramphenicol มีความเสี่ยงที่จะเป็นอันตรายต่อสตรีให้นมบุตร  อย่างไรก็ตามควรหลีกเลี่ยงการใช้ยา Chloramphenicol หากเป็นไปได้ โดยเฉพาะหากทารกมีอายุน้อยกว่า 1 เดือน หากจำเป็นต้องใช้ควรเฝ้าระวังผลข้างเคียงที่พบในทางรก ,"1. Breastfeeding Association for Promotion and Cultural and Research of. Chloramphenicol. Available from: http://www.e-lactancia.org/producto/378.                                                         2. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002.                                       3. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf-free/."
Metronidazole,ใช้สำหรับรักษาโรคติดเชื้อที่มีสาเหตุจากเชื้อแบคทีเรีย,ความเสี่ยงต่ำมาก, มีข้อมูลระบุว่า ควรหลีกเลี่ยงการใช้ยา Metronidazole ถ้าเป็นไปได้ แต่หากจำเป็นต้องใช้ ควรคำนึงถึงประโยชน์จากการรักษา และควรรับประทานในขนาดรับประทานครั้งเดียว และงดให้นมบุตร 12 ชั่วโมง ,"1. Breastfeeding Association for Promotion and Cultural and Research of. Metronidazole. Available from: http://www.e-lactancia.org/producto/1041.                                                         2. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002.                                       3. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf-free/."
Clindamycin,ใช้สำหรับรักษาโรคติดเชื้อที่มีสาเหตุจากเชื้อแบคทีเรีย,ความเสี่ยงต่ำ,ควรหลีกเลี่ยงการใช้ยา Clindamycin หากเป็นไปได้ หากจำเป็นต้องใช้ควรเฝ้าระวังผลข้างเคียงที่อาจพบในทารก,"1. Breastfeeding Association for Promotion and Cultural and Research of. Clindamycin. Available from: http://www.e-lactancia.org/producto/360.                                                           2. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002."
Lincomycin,ใช้สำหรับรักษาโรคติดเชื้อที่มีสาเหตุจากเชื้อแบคทีเรีย,ความเสี่ยงต่ำมาก,,Breastfeeding Association for Promotion and Cultural and Research of. Lincomycin. Available from: http://www.e-lactancia.org/producto/937.                                                          
Nitrofurantoin,ใช้สำหรับรักษาโรคติดเชื้อที่มีสาเหตุจากเชื้อแบคทีเรีย,ความเสี่ยงต่ำมาก,ข้อมูลการใช้ยา Nitrofurantoinในสตรีให้นมบุตรมีจำกัด แต่อย่างไรก็ตามข้อมูลหลักฐานที่พบไม่ได้ระบุว่ายา Nitrofurantoin มีความเสี่ยงที่จะเป็นอันตรายต่อสตรีให้นมบุตร และมีข้อมูลว่ายา Nitrofurantoin สามารถใช้ในสตรีให้นมบุตร แต่ควรหลีกเลี่ยงการใช้ยา Nitrofurantoin หากทารกเป็นโรค G6PD หรือเป็นทารกแรกเกิด หรือทารกมีอายุน้อยกว่า 1 เดือน และควรทำการเฝ้าระวังผลข้างเคียงที่เกิดกับทารก ,"1. Breastfeeding Association for Promotion and Cultural and Research of. Nitrofurantoin. Available from: http://www.e-lactancia.org/producto/1120.                                                       2. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002.                                        3. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf-free/."
Colistimethate,ใช้สำหรับรักษาโรคติดเชื้อที่มีสาเหตุจากเชื้อแบคทีเรีย,ความเสี่ยงต่ำมาก,ข้อมูลการใช้ยา Colistimethateในสตรีให้นมบุตรมีจำกัด แต่อย่างไรก็ตามข้อมูลหลักฐานที่พบไม่ได้ระบุว่ายา Colistimethate มีความเสี่ยงที่จะเป็นอันตรายต่อสตรีให้นมบุตร,"1. Breastfeeding Association for Promotion and Cultural and Research of. Colistimethate. Available from: http://www.e-lactancia.org/sinonimo/298.                                                          2. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf-free/."
Fosfomycin,ใช้สำหรับรักษาโรคติดเชื้อที่มีสาเหตุจากเชื้อแบคทีเรีย,ความเสี่ยงต่ำมาก,ข้อมูลการใช้ยา Fosfomycinในสตรีให้นมบุตรมีจำกัด แต่อย่างไรก็ตามข้อมูลหลักฐานที่พบไม่ได้ระบุว่ายา Fosfomycin มีความเสี่ยงที่จะเป็นอันตรายต่อสตรีให้นมบุตร,"1. Breastfeeding Association for Promotion and Cultural and Research of. Fosfomycin. Available from: http://www.e-lactancia.org/producto/696.                                                          2. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf-free/."
Vancomycin,ใช้สำหรับรักษาโรคติดเชื้อที่มีสาเหตุจากเชื้อแบคทีเรีย,ความเสี่ยงต่ำมาก,ข้อมูลการใช้ยา Vancomycinในสตรีให้นมบุตรมีจำกัด แต่อย่างไรก็ตามข้อมูลหลักฐานที่พบไม่ได้ระบุว่ายา Vancomycin มีความเสี่ยงที่จะเป็นอันตรายต่อสตรีให้นมบุตร,"1. Breastfeeding Association for Promotion and Cultural and Research of. Vancomycin. Available from: http://www.e-lactancia.org/producto/1583.                                                        2. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf-free/."
Linezolid,ใช้สำหรับรักษาโรคติดเชื้อที่มีสาเหตุจากเชื้อแบคทีเรีย,ความเสี่ยงต่ำ, ควรปรึกษาแพทย์หรือเภสัชกรหากต้องใช้ยานี้ เนื่องจากข้อมูลการใช้ยา Linezolid ในสตรีให้นมบุตรมีน้อย ,"1. Breastfeeding Association for Promotion and Cultural and Research of. Linezolid. Available from: http://www.e-lactancia.org/producto/939.                                                          2. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf-free/."
Fluconazole,ใช้สำหรับรักษาโรคติดเชื้อที่มีสาเหตุจากเชื้อรา,ความเสี่ยงต่ำมาก,,Breastfeeding Association for Promotion and Cultural and Research of. Fluconazole. Available from: http://www.e-lactancia.org/producto/667.
Griseofulvin,ใช้สำหรับรักษาโรคติดเชื้อที่มีสาเหตุจากเชื้อรา,ความเสี่ยงต่ำมาก,ข้อมูลการใช้ยา Griseofulvinในสตรีให้นมบุตรมีจำกัด แต่อย่างไรก็ตามข้อมูลหลักฐานที่พบไม่ได้ระบุว่ายา Griseofulvin มีความเสี่ยงที่จะเป็นอันตรายต่อสตรีให้นมบุตร,"1. Breastfeeding Association for Promotion and Cultural and Research of. Griseofulvin. Available from: http://www.e-lactancia.org/producto/759.                                                          2. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf-free/."
Ketoconazole,ใช้สำหรับรักษาโรคติดเชื้อที่มีสาเหตุจากเชื้อรา,ความเสี่ยงต่ำมาก,ข้อมูลการใช้ยา Ketoconazoleในสตรีให้นมบุตรมีจำกัด แต่อย่างไรก็ตามข้อมูลหลักฐานที่พบไม่ได้ระบุว่ายา Ketoconazole มีความเสี่ยงที่จะเป็นอันตรายต่อสตรีให้นมบุตร,"1. Breastfeeding Association for Promotion and Cultural and Research of. Ketoconazole. Available from: http://www.e-lactancia.org/producto/890.                                                          2. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf-free/."
Itraconazole,ใช้สำหรับรักษาโรคติดเชื้อที่มีสาเหตุจากเชื้อรา,ความเสี่ยงต่ำมาก, ควรปรึกษาแพทย์หรือเภสัชกรหากต้องใช้ยานี้ เนื่องจากข้อมูลการใช้ยา Itraconazole ในสตรีให้นมบุตรมีน้อย ,"1. Breastfeeding Association for Promotion and Cultural and Research of. Itraconazole. Available from: http://www.e-lactancia.org/producto/876.                                                           2. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf-free/."
Voriconazole,ใช้สำหรับรักษาโรคติดเชื้อที่มีสาเหตุจากเชื้อรา,ความเสี่ยงต่ำ, ควรปรึกษาแพทย์หรือเภสัชกรหากต้องใช้ยานี้ เนื่องจากข้อมูลการใช้ยา Voriconazole ในสตรีให้นมบุตรมีน้อย ,"1. Breastfeeding Association for Promotion and Cultural and Research of. Voriconazole. Available from: http://www.e-lactancia.org/producto/1601.                                                        2. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf-free/."
Nystatin,ใช้สำหรับรักษาโรคติดเชื้อที่มีสาเหตุจากเชื้อรา,ความเสี่ยงต่ำมาก,,Breastfeeding Association for Promotion and Cultural and Research of. Nystatin. Available from: http://www.e-lactancia.org/producto/1114.
Brompheniramine Maleate,ใช้สำหรับแก้แพ้ลดน้ำมูก,ความเสี่ยงต่ำ,ข้อมูลการใช้ยา Brompheniramine Maleateในสตรีให้นมบุตรมีจำกัด แต่อย่างไรก็ตามข้อมูลหลักฐานที่พบไม่ได้ระบุว่ายา Brompheniramine Maleate มีความเสี่ยงที่จะเป็นอันตรายต่อสตรีให้นมบุตร,"1. Breastfeeding Association for Promotion and Cultural and Research of. Brompheniramine Maleate. Available from: http://www.e-lactancia.org/producto/204.                                    2. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf-free/."
